"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","6","0","","0"
"0","SauceDemo","0","Shopping Cart","3","0","Add all inventory items to cart and verify contents","0"
